asin,summaryReview
B0002U2V1Y,"['Gold Clay Bar System', 'works good', 'Brings back the depth', 'Good product', 'Requires no skill or experience whatsoever.  Beautiful results.', 'Works great!', 'Works Great Eats up the Dirt', 'Unbelievable Difference', 'Great Product', 'Easy to use and it works!', ""It's the best"", 'Better than other clay bars out there.', 'Good', 'Mothers Rock !!', 'Excellent clay bar', 'Fantastic!  A Must have for all ""car"" guys and gals!', 'Nice kit', 'Clay Bar Time!', 'Looks promising', 'Wwww...wow!!!', 'Next time, soapy water', 'Does the job well', 'Great kit, great results, includes everything you need', 'The Best Product I Have Ever Found To Make My Cars Beautiful', 'it works, but you need to develop a proper technique...', 'ideal', 'Mothers all the way', 'Amazing results', 'Works great!', 'Great restoring product', 'Good stuff', ""Mother's California Gold Clay"", 'Solid Kit', 'Nice package of clay bar and all the stuff required', 'Works well, but smells like cinnamon (unfortunately)', 'CLEAN CLEAN CLEAN!!!', 'Claying is more for the perfectionist', 'After 3 years of claying, someone just asked me if my 3+ year old car is brand new', 'Great Clay and Detail Spray', 'Mothers clay bar', 'It did a lot, but not everything.', 'Five Stars', 'This really works', ""Don't waste your money"", 'clay bar works wonders', 'Looks great', 'Works well', 'Got Out Some Particulate, But No Amazing Wonder To Me', 'Good kit for beginners & it works even on a newer car', 'Overall, satisified']"
B00068XCQU,"['Very good and worth getting!', 'Tiny and Mighty', 'Excellent', 'Love it', 'Worked when I needed it!', 'reliable brand', 'This id a great tender for the price', 'An RV must-have', 'Another 5-star review', '10 years old and still going strong', 'Good little tool to have.', 'First one no float charge, replacement works like a charm!', 'Excellent little battery charger!', 'A+ Works Great!', 'Great solution for many issues', 'I should have listened!', 'tender plus', 'These are the best chargers!', 'The Little Charger That Can', 'good', 'Keep your battery alive at all times.', 'good item', 'Overpriced', 'It will help ?', 'Battery Tender 021-0128 Battery Tender Plus 12V Battery Charger', 'Battery Tender Plus', 'Some car/motorcycle afficionados recommended the Battery Tender to me', 'Great product!', 'Battery Tender Plus', 'Battery Tender Plus', 'Awesome little Device for my Acura MDX', 'JR sust as good', 'Battery Tender', 'great charger', 'Works great charging Piaggio or Vespa scooters', 'Great, and Me-Proof!', 'Best battery charger/maintainer', 'AWESOME', 'Must Have for any Motorcyclist', 'Great littler charger with great options', 'The best!', 'Battery Tender Plus .', 'buy a different brand updated 1-15-2014', 'The Battery Tender Plus 12V Charger - A Batteries Thirst For Power', 'A must own item', 'Great unit, does what it promises', 'Awesome Battery Tender', 'Battery Tender 021-0128 Battery Tender Plus 12V Battery Charger', 'Deltran the best', 'Good charger with temperature compensation', 'Works Great!', 'Feature Rich, and a Great Reputation for Quality! CONFIRMED....', 'Glad I bought this', 'A must for any equipment or vehicle not used frequently.', 'Works great', 'It Works', 'good product', 'cheaply made and marginally effective', 'Necessary', 'Works perfectly', 'Sidewinder said, You have to have at least one Battery tender  plus.', 'caused my battery to overcharge and leak everywhere.  What a mess!', '12v Battery Tender', 'Works great for keeping a charge', 'The best trickle/maintain charger available, in my opinion.', 'Excellent Battery Tender', 'Works As Advertised', 'The Battery Tender is the best!', 'battery tender', 'Battery Tender For My Harley Sportster 1200L', 'Battery Tender 021-0128 Battery Tender Plus 12V Battery Charger', 'Battery Tender', 'Excellent little device for emergencies', 'Great device, sketchy warranty', 'My favorite charger', 'Battery Tender Plus', 'Great for Motorcycles!', 'Excellent charger for Automotive!!', 'Working on a VMAX']"
B00080QHMM,"['Nice to use', 'Consistent but tricky measurement', 'Decent value', 'Quick and accurate', 'Digital tire pressure gauge', 'Great!', 'well designed, long lasting', 'Tough and accurate', 'Built Like A Tank, And Quite Accurate', 'Easy tire pressure gauge', 'Does what it says on the tin.', 'Check tire pressure just got easier', 'accurate, but difficult to use', 'Great product - super price', 'Perfect', 'Lots to Like', 'Great!', 'Easy to Read, Precise Reading', 'Buy more than one', 'Very good deal @ $7.99 - very bright display - I ordered two more', 'Works really well', 'Quick and easy to use', '6th purchase', 'SIMPLE TO USE AND ACCURATE', 'Great tire gauge', 'This is good for', 'awkward', 'Digital Tire gauge', 'Great control and thumb pressure with this tire guage', 'Nice unit for the glove box', 'Works excellent for the price', 'Easy to read', 'Good value', 'love it', 'Great tool!', 'I own 5 of these - highly recomended', 'Replacement works Greath', 'Very good tire gauge for this price', 'split along the side = useless gauge', 'Would buy again', 'Inexpensive, accurate, and durable', 'good product', 'Accutire ms-4021B Tire Gauge', 'This is a great gauge to have in glove compartment or garage', 'Great little tire gauge!', 'very accurate', 'Perfect', 'Accurite Digital Tire Gauge', 'easy to use and read', 'Not Recommended', 'Gitchee one', 'Accutire', 'Spot-on tool, user friendly, must have for every discerning driver.', 'Extremely accurate and easy to use.', 'Very Good Product', 'More accurate than I expected', 'Perhaps I got a dud', 'Easy To Use & Read', 'It works', 'great', 'A must for any car!', ""Can't beat it for the price"", 'BEST TIRE GAUGE EVER', 'A great, user friendly digital tire gauge.']"
B0009IQXFO,"[""One of Meguiar's best"", 'Nice suds', 'Great soap', ""Meguiar's G7164 Gold Class Car Wash Shampoo and Conditioner"", 'Gold !!', 'A little goes a long way', 'Awesome soap for car wash', 'Great price, good product', 'Best car soap available', ""This and Mother's California Gold are my go-to car washes"", 'awesome results', 'Great smell!', 'Five Stars', 'Left water spots on black car.', 'Great quality concentrate at fair price', 'Excellent!', 'Missing Suds?', 'Best Car Wash', 'Incredible stuff! And it feels good knowing it is ""the right stuff.""', 'one bottle is enough for a long long time...', 'An Alright product', 'Lots of Shine!', 'My favorite car wash', 'This is the only wash I use.', 'Car Wash', 'Best car wash for the money', 'good for the $$$$', 'Best Car wash Soap out there', 'Good Quality Car Wash For a Small Price', 'I only use the BEST!', ""Strange- Everyone Rave's About the Suds, Not My Experience"", 'The Best', 'Good car wash', ""Replaced Mequiar's Crystal Wash - top notch car wash"", 'Good for dark vehicles', 'great', 'Great Wash and Shampoo', 'Excellent Car Wash', 'Looks like a waxed car', 'Great car wash at an incredible value.', 'Great stuff', 'Love it', 'Great', ""Best Car Wash Shampoo I've Found"", 'Great lubricity, Great shine', 'Good Stuff', 'Great product', 'Ok for the price', 'Better than other soaps I have used', ""The best I've ever used"", 'Good as Gold', 'Works great', 'Great value, with a nice end result. Would buy again.']"
B0009IQZFM,"['Meguiars Water Magnet', 'Good enough for my SUV', 'Exellent', 'Best drying towel', 'Water Drying Towel', 'Totally Amazing!!', 'Better Than a Chamois', ""The Best Towel I've Used"", 'Works', 'Excellent product. I dried my compact SUV sized car ...', 'Disapointed', 'Much better than using a standard towel', 'VERY nice towel for drying', 'Not Up to expectation.', 'Magnet Indeed', 'Excellent Item', 'fast drying', 'Good Product', 'Works well, slightly small and expensive', 'Absorbs alit of water', 'Ok, but there are better', 'disappointed !', 'Works better than regular micro fiber-my main drying towel', 'Great purchase', ""I've thrown away the old chamois"", 'works great', 'Works well', 'really good towel', 'Great Size', 'I love em', 'My first 1-star review ever.  Sad.', 'Nice drying towel', 'Dry Magnet', 'Awesom Towel', 'Absolutely Love This Drying Towel', 'Perfect size drying towel for a car.', 'HOLDS TONS OF WATER', 'Dried like a champ', 'Great absorbsion', 'Works great', 'Does exactly as advertised', 'Absorbs a lot of water', 'I like to get the bulk of the water off with ...', 'bad', 'Its all right', 'I will keep buying this product.', 'Excellant Drying Towel', 'great auto towel', 'Great', 'Great Towel!', 'good product.', 'very effective', 'This really is a water magnet', 'A nice towel for a compact car', 'only use for windows now', 'Quickly and easily dried my car', 'Why Should I Use My Own Towels to Dry My Car?  This Product Works Fabulously', 'Get too wet to fast', 'Just like the other drying towels', 'Jury still out', 'Excellent drying towel!', 'Leaves streaks', 'Water Magnet', 'Dries and absorbs a lot!', 'I had no idea I would find so much pleasure with a towel drying a car', 'Overrated - Not Worth the Money - Not a Fan', 'Excellent, really absorbent.  Be careful with stains', 'Really nice drying towel especially for the money', 'Superb Drying!', 'Nice towel', 'Amazon is the reason', 'A little drop will do ya', 'Must have! I Just ordered another.', 'Blue ones are bigger/better', 'Best Drying Towels In The Universe', 'Perfect towel after car washes', 'Great', ""I'm glad I did"", 'Sucks up the water']"
B0009IQZH0,"['Towels', 'Great microfiber cloths', 'meguiar,s x2020 supreme shine microfiber cloths -set 0f 3', 'Nice cloths', 'Handy', 'Great product', 'Did what it supposed to do.', 'best cloths i bought', 'Super Soft', 'five stars for now', 'microfiber cloths', 'Soft, versatile and good value!', 'Great buy. Best microfiber cloths', ""Soft as a babie's behind!! LOL"", 'Microfiber cloth', 'Added to Meguiars Classic Wash and Wax Kit', 'Microfiber A Good Thing', 'Yes Yes and MORE yes!', 'Great Product', 'Great product, but cheaper elsewhere', 'Good cloths', 'Removed Polish and Wax with No Problems', 'Really nice large cloths', 'awesome!', 'Not too bad', ""Better than Zwipes Not as good as the Cobra's"", 'Awesome Towels', 'Best Thing For Removing Wax', 'Very high quality cloths', 'Very Good Microfiber Cloths', 'good', 'Like', 'nice', 'Good for removing wax during buffing', 'Great Shine and No streaks.', 'Too expensive', 'They are a good value', 'Shop & Kitchen', 'Good Cloths For All Around Use, Not Just Cars', 'Microfiber Rocks For Cleaning.', 'Great for drying', 'Amazing', 'Good For Drying/Applying Meguiar Ultimate Detailer', 'Great; the go-to', 'One of (if not the) best microfiber cloth!', 'Soft, Detailing and Care', 'Five Stars', 'Heavy duty cloths', 'Tough To Beat', 'awesome towels', 'cloths', 'Not all MF cloths are made equal', 'Nice big bulky micorfiber towels perfect for detailing and waxing car', 'Supreme Shine Cloths', 'Did the job well', 'large towels with nice texture!', 'These rock', 'worth the price of admission', 'Well worth the little extra.', 'Best Microfiber Cloths I have used', 'Great For My Car', 'Hide them from your wife (or life partner or yourself)!', 'Excellent', 'Great cloths', 'Supreme Is What It Is', 'You must be kidding', 'Great for removing polish and wax', 'great', 'microfiber cloth']"
B000AA4RWM,"['On level ground', 'Works as illustrated', 'Works great if you get it level', 'simple', 'Works Great for the RV', 'Hopkins Trailer Levels', 'Great for quick leveling of camper', 'Handy tools. DOuble-sided tape a little wonky', 'These work great', 'level', 'ok', 'One of the better levels.', 'Good Value', 'Works as designed.', 'Good for camper', 'Breat addition to my RV', 'Just as described', 'great idea', 'These levelers are great except the double sided tape', 'great', 'Not to Shabby', 'Work just fine', 'Good replacement', 'Tells you how much you need to get the level right', 'Graduated Level', 'They work', 'works perfect and is cheap', 'should do the job', 'For the RV', 'Simple - just know what you are doing', 'good item', 'Simple', 'makes leveling the RV easy', 'Perfect', ""Does exactly what they're supposed to."", 'Great Trailer Levels - Highly Recommended', 'read directions first', 'the level best!', 'They work as advertised...', 'easy to use', 'Easy to use', 'Great product.', 'Decent', 'Amazon true to returns', 'Excellent', 'Good product', 'Screwing better than the tape', 'You have to have these.', 'Fast leveling as you park camper', 'A must for any camper.', 'They Work Well', 'These are everywhere....', 'arrive quickly and work good', 'very accurate', 'Five Stars', 'Easy to use and install. Worth the money.', 'used on a camper', 'Easy to install', 'ok', 'Hopkins 08525 graduated level', 'They are levels - and work well', 'Handy, but green is fading', 'Works good', 'Hopkins Levels', 'You NEED this.', 'Good enough for most leveling jobs.', 'Level', 'HOPKINS LEVEL', 'Shipped fast', 'A great addition', 'graduated RV levels']"
B000BYB2J8,"['durable & excellent wiping action', 'Nice Blades', ""Good quality, doesn't work on my 07 Accord"", 'Easy fit. Quiet.  Hugs the windshield.', 'This is the new conventional wiper blade', 'Great Blades', 'Perfect fit to my 2001 Accord', 'TERRIBLE WIPER BLADES', 'Very easy installation.', 'Made in China poor quality item', 'I like the design', 'This is it!', 'Bosch Evolution Wipers', 'great', 'Amazons says these will fit. Not.', 'Bosch Wipers.', 'Work well', 'Not impressed', 'Bosch windshield wipers', 'These blades are all wet.', 'GREAT WIPERS!!!', 'Went on easy, wipe nice', 'Solid Performance Wiper Blade', 'Great Quality Item, Local may be cheaper!', 'Crap', 'No streaking or squealing', 'Marathon same wiper', 'Five Stars', 'Excellent in all weather', 'Simple to install, work very good', 'Worked okay', 'Much better than other brands I have used', 'Does what a winshield wiper is supposed to do', 'Excellent for my 2009 Altima Hybrid', 'Great Wipers. Sizing Tip:', 'Great Product!', 'Wipers that work in very conditions, and last.', 'like them', 'EXCELLENT Performance -- Regardless of the Weather  !!', 'No better or worse than traditional', 'Fantastic, invest in these!', 'Surprise! Surprise!', ""Don't trust what you see on Amazon"", 'Excellent clarity and performance', 'Great Blade!', 'Work well, better than the Rain-X', ""does not fit eldorado 94'"", 'the middle part sticks out', 'Good replacement', 'Great Wiper Brand', 'Best wipers!', 'Easy to install & high quality', 'Great wipers I got for my Ford Truck', 'not the best for BMW e46', 'Works on my 02 ML 320 like a glove', 'good product', 'These Blades Are Horrible', 'Okay aftermarket blades, but not good in cold weather', 'I expected more from these', 'Excellent product and price']"
B000CITK8S,"['Great for keeping boat / jetski batteries charged', 'Easy To Install And Use', 'A must have!', 'Must Have for any Motorcyclist', 'Very good', '4.5 stars.  Great unit at a reasonable price', 'Works well', 'Great product', 'Need an ATV Charger? This is the one', 'Not what I was hoping for', 'Works', 'Does the job it advertises.', 'For keeping your investment alive', 'Dead $ulfated Battery  vs  Inexpensive Miracle Charger', 'Best battery maintenace out there!', 'Works very well.', 'Good charger', 'Affordable and effective', 'Perfect float charger', 'love em!', 'my second junior 12v', 'Works great..', 'Battery Tender', 'great for riding mower and more', 'A necessity for WInter Storage', ""Haven't used it yet"", ""JUNK don't last long - don't waste your money"", 'Must have for winter storage', 'It works.  Battery stays charged in cold weather.', 'Charger', '12 Volt Battery Charger.', 'Keeps Motorcycle Battery in Good Health', 'GET CHARGED UP AND SAVE MONEY', 'Great product!', 'Great product!', '4th one', 'never a failure', 'Buy this one!', 'Good Product and as described', 'Battery Tender Jr.', 'Great Maintainer', 'Small and versitile', 'Great product', 'Awesome', 'no worries and no problems', 'Excellent', 'Works Great!', 'G', 'died after four once-a-month uses', 'Good little charger , very compact!', 'charging', 'Solid Product', 'Get It!', 'Great', 'Good low cost Battery Tender for AGM type motorcycle batteries', 'Excellent maintenance charger', 'Just about Perfect', 'keeps the battery charged', 'Nice product', 'little life saver', 'BEWARE One changed my life forever.', 'very good', 'Great for keeping a battery charged', 'I purchased a second one', 'Nice!', 'Battery Tender Jr', 'Works', 'Great tender for lawn mower', 'Battery charger', 'good battery tender', 'Works well', 'Must Have', 'Great battery tender', 'does its job, no problems, what more can i want', 'winter requirement', 'Keeps expensive batteries alive and healthy', 'Great little inexpensive battery tender.', 'Keeps my rarely driven car ready to go', 'battery tender junior', 'Easy nice trickle charger', 'Battery Tender', 'Great charger', 'Great deal!', 'Highly recommended', 'Battery Tender', 'excellent.', 'great product. Fantastic price', 'Works!', 'great item for that garage car', 'Battery Tender 021-0123 Battery Tender Junior 12V Battery Charger', 'Maintains camper batteries', 'Good tool to have around.', 'A must have for any garage', 'Too small for car/truck batteries per Deltran Customer Service', 'Good solid product', 'Lasting battery tender', 'Works perfectly for me', 'battery friend', 'saved my battery', 'The best', 'Must have!!!', 'awesome', 'Prolongs the life of batteries on stored equipment', 'Great for storage!', 'Works just fine', 'Good product', 'great price - VERY reliable item', 'whaddaya say', 'Charged my dead motorcycle right up!', 'Works great', 'Great Value', 'A must for anyone who has seasonal vehicles', 'Good little tendors', 'A New Addition', 'good', 'Good buy, reliable', 'Small - cheap - and gets the job done well. Nicely made.', 'Works well, small size, conveniently long cord, plugs right into the bike I only use part of the year', 'They work and are cheap.', 'best thing goin""', 'Excellent &#34;smart&#34; equipment', 'Keeps my generator ready', 'Excellent Battery tender', 'Does exactly what they say it does', 'Works GREAT!', 'Great for motorcycle', 'Excellent trickle charger', ""Keeps my wife's car charged"", 'Just Right for Me and My Needs', 'Love these', 'It works&#8230; but the 18&#8221; cables are too short for my use.', 'use it everyday', 'Five Stars', 'battery tender jr', 'Almost perfect...', 'gotta have it!!! unless you like buying new batteries every 2 years', 'Battery Tender Jr = Poor Product', 'works great', 'Simple to use.  Plug in and walk away.', 'Just the thing', 'Great Little Charger', 'Great product', 'Great ite to keep the battery charged', 'As expected. A++++', 'Battery Tender', 'Great product', 'Great!', 'Miraculous, almost', 'What a great device.  Plug it in and forget it.', 'GREAT purchase', ""Can't have too many!"", 'The best', 'Great little charger.', 'Greate helper', 'Dependable and much cheaper than replacing an ATV battery', 'Great Unit', 'Still going strong after 1 year of continued use', 'CHARGE!!!', 'So far so good', 'Battery Tender', 'Work great', 'Quality', 'Nice Charger', 'What else is left to be said?  This is the one to own.', 'Great product!', ""Great addition to any home mechanic's garage"", 'Great product', 'Noice', 'A must for Motorcycles']"
B000FW2MWW,"['Smaller than a normal extension cord', ""Battery Tender 081-0148-25 25' Quick Disconnect Extension Cable"", 'Second Purchase', 'Keep the Electonics inside', 'Battery Tender Plus Extender Cord', 'Works as intended', 'good quality - easy to use/install', ""Works great when I can't bring the car inside ."", 'Excellent Overall', 'Extension cord', 'extension', 'needed it to reach the car', 'Great length', 'Quality extension.', 'Battery Tender, Accessories Galore :-) But ONLY 12VDC...', ""Battery Tender 081-0148-25 25' Quick Disconnect Extension Cable"", 'Battery Tender Quick Disconnect Extension Cable', 'Love it', 'Excellent ~ 25 ft extension', ""Battery Tender 081-0148-25 25' Quick Disconnect Extension Cable"", 'TO extend the reach of the trickle charger (Motorcycle - Lawn Mower)', 'Great Extension', 'Good cable', 'Excellent quality at an excellent price', 'Useful accessory', 'very long', 'extension cable for battery tender', 'just what I needed', 'Simple, well-made tool that comes in handy', 'for the extra reach', 'Quick Disconnect Extension Cable', 'excellent', 'Works fine but has a few minor issues', ""Battery Tender 081-0148-25 25' Quick Disconnect Extension Cable"", 'Battery Tender with a reach!', 'Good enough.  I wish the cord was a little more pliable.', 'Easy Connection and Use', 'long...', 'If you use the battery tender system, this is a great value', 'Just as described.', 'Perfect', 'Good extension cable.', ""Battery Tender 25' Extension"", 'Great item. Works perfect', 'Works', 'Quick Disconnect Extension Cable', 'You will need this', 'Added versatility for the Battery Tender', 'Works as designed', 'Good quality cable.', 'Good addition', 'Four Stars', 'Works fine with my Battery Tender Plus', 'does the job', ""It's a long piece of wire.."", 'A solid quality product well described and shown in the ad', 'great for wall mounts', 'Highest Quality', 'perfect solution to charging boat in driveway!', 'Extending My Time', 'Battery Tender Extension Cable', ""Battery tender 25' extension""]"
